error,count
"syntax error, expect RPAREN, actual UNION pos 101, line 6, column 38, token UNION",4
"TODO : pos 35, line 1, column 31, token JOIN",1
No space left on device,4
url not set,2
"TODO pos 251, line 1, column 243, token PARTITION",5
"TODO pos 197, line 1, column 189, token PARTITION",5
"TODO pos 790, line 1, column 782, token PARTITION",5
"TODO pos 72, line 6, column 2, token PARTITION",5
"TODO pos 213, line 1, column 205, token PARTITION",5
"TODO pos 150, line 1, column 142, token PARTITION",5
"TODO pos 289, line 1, column 281, token PARTITION",5
"TODO pos 55, line 2, column 2, token PARTITION",5
"syntax error, expect REF, actual RECORD, pos 650, line 13, column 20, token RECORD",6
"syntax error, error in :&#x27;ase; end&#x27;, expect IF, actual null, pos 645, line 1, column 646, token EOF",5
"syntax error, error in :&#x27;date no_wait&#x27;, expect SET, actual null, pos 40, line 1, column 41, token EOF",2
"ERROR. pos 27, line 1, column 27, token ;",2
"syntax error, error in :&#x27;date no_wait&#x27;, expect SET, actual null, pos 302, line 1, column 303, token EOF",2
"syntax error, error in :&#x27;wait 3&#x27;, expect SET, actual null, pos 39, line 1, column 39, token LITERAL_INT",2
"syntax error, error in :&#x27;SKIP LOCKED&#x27;, expect SET, actual null, pos 82, line 1, column 83, token EOF",2
"syntax error, expect ), actual IDENTIFIER pos 92, line 3, column 44, token IDENTIFIER RETURNING",6
