error,count
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve org.apache.ibatis.submitted.nested.Mapper.nestedSelect-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE (lastName = ? and firstName = ?)         or           (lastName = ? and firstName = ?) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve org.apache.ibatis.submitted.nested.Mapper.nestedSelect-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE (lastName = ? and firstName = ?)         or           (lastName = ? and firstName = ?)                         or           (lastName = ? and firstName = ?) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String, java.lang.String]",2
" ### Error updating database.  Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/selectkey/AnnotatedMapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select id, name_fred from table2 where id = identity() ### Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",4
" ### Error updating database.  Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/selectkey/AnnotatedMapper.java (best guess) ### The error may involve org.apache.ibatis.submitted.selectkey.AnnotatedMapper.insertTable2WithSelectKeyWithKeyMap!selectKey-Inline ### The error occurred while setting parameters ### SQL: select id, name_fred from table2 where id = identity() ### Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",4
"Failed to create database &#x27;ibderby&#x27;, see the next exception for details.",2
" ### Error querying database.  Cause: java.lang.NullPointerException ### The error may exist in org/apache/ibatis/submitted/serializecircular/DepartmentMapper.xml ### The error may involve org.apache.ibatis.submitted.serializecircular.DepartmentMapper.getById-Inline ### The error occurred while setting parameters ### SQL: SELECT    department.nr_id,    department.nr_attribute,    department.person         FROM          department         WHERE          nr_id = ? ### Cause: java.lang.NullPointerException",4
" ### Error querying database.  Cause: java.lang.NullPointerException ### The error may exist in org/apache/ibatis/submitted/lazyload_proxyfactory_comparison/Mapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select id, name, owner_id from users where id = ? ### Cause: java.lang.NullPointerException",6
" ### Error querying database.  Cause: java.lang.NullPointerException ### The error may exist in org/apache/ibatis/submitted/automatic_lazy_loading/ElementMapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select VALUECOLUMN, PARENTVALUECOLUMN from VALUETABLE where VALUECOLUMN = ? ### Cause: java.lang.NullPointerException",6
" ### Error querying database.  Cause: java.lang.NullPointerException ### The error may exist in org/apache/ibatis/submitted/cglib_lazy_error/Person.xml ### The error may involve org.apache.ibatis.submitted.cglib_lazy_error.PersonMapper.selectById-Inline ### The error occurred while setting parameters ### SQL: SELECT           Person.id AS Person_id,     Person.firstName AS Person_firstName,     Person.lastName AS Person_lastName,     Person.parent AS Person_parent         FROM Person     WHERE id = ? ### Cause: java.lang.NullPointerException",5
 ### Error querying database.  Cause: java.lang.NullPointerException ### The error may exist in org/apache/ibatis/builder/BlogMapper.xml ### The error may involve domain.blog.mappers.BlogMapper.selectBlogWithPostsUsingSubSelectLazily-Inline ### The error occurred while setting parameters ### SQL: select * from Blog where id = ? ### Cause: java.lang.NullPointerException,1
