error,count
In-memory buffer limit exceeded,1
checkForCorrectIndex(resolve),1413
No changes,1976
"crissCrossMerge_checkOtherFiles(strategiesUnderTest[0], indexStates[2], worktreeStates[4])",1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4677792825646946144&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2284495108425908232&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_421679764337337583&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_803167169255190208&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6950866381889085133&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3223043694233235005&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1687553375355366975&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3529357713407800063&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5272742497911662629&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7776630730033248423&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8992097458666672358&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6436491969603309146&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6498826050092788807&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1652650253942024211&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4618990156035034137&#x27; on file &#x27;src/a.txt&#x27; failed,1
