error,count
" ### Error updating database.  Cause: org.h2.jdbc.JdbcSQLException: Syntax error in SQL statement &quot;UPDATE ACT_RU_EXECUTION SET       REV_ = ?,       BUSINESS_KEY_ = ?,       PROC_DEF_ID_ = ?,       ACT_ID_ = ?,       IS_ACTIVE_ = ?,       IS_CONCURRENT_ = ?,       IS_SCOPE_ = ?,       IS_EVENT_SCOPE_ = ?,       PARENT_ID_ = ?,       SUPER_EXEC_ = ?,       SUSPENSION_STATE_ = ?,       CACHED_ENT_STATE_ = ?,       NAME_ = ?,     WHERE[*] ID_ = ?       AND REV_ = ? &quot;; expected &quot;identifier&quot;; SQL statement: update ACT_RU_EXECUTION set       REV_ = ?,       BUSINESS_KEY_ = ?,       PROC_DEF_ID_ = ?,       ACT_ID_ = ?,       IS_ACTIVE_ = ?,       IS_CONCURRENT_ = ?,       IS_SCOPE_ = ?,       IS_EVENT_SCOPE_ = ?,       PARENT_ID_ = ?,       SUPER_EXEC_ = ?,       SUSPENSION_STATE_ = ?,       CACHED_ENT_STATE_ = ?,       NAME_ = ?,     where ID_ = ?       and REV_ = ? [42001-170] ### SQL: update ACT_RU_EXECUTION set       REV_ = ?,       BUSINESS_KEY_ = ?,       PROC_DEF_ID_ = ?,       ACT_ID_ = ?,       IS_ACTIVE_ = ?,       IS_CONCURRENT_ = ?,       IS_SCOPE_ = ?,       IS_EVENT_SCOPE_ = ?,       PARENT_ID_ = ?,       SUPER_EXEC_ = ?,       SUSPENSION_STATE_ = ?,       CACHED_ENT_STATE_ = ?,       NAME_ = ?,     where ID_ = ?       and REV_ = ? ### Cause: org.h2.jdbc.JdbcSQLException: Syntax error in SQL statement &quot;UPDATE ACT_RU_EXECUTION SET       REV_ = ?,       BUSINESS_KEY_ = ?,       PROC_DEF_ID_ = ?,       ACT_ID_ = ?,       IS_ACTIVE_ = ?,       IS_CONCURRENT_ = ?,       IS_SCOPE_ = ?,       IS_EVENT_SCOPE_ = ?,       PARENT_ID_ = ?,       SUPER_EXEC_ = ?,       SUSPENSION_STATE_ = ?,       CACHED_ENT_STATE_ = ?,       NAME_ = ?,     WHERE[*] ID_ = ?       AND REV_ = ? &quot;; expected &quot;identifier&quot;; SQL statement: update ACT_RU_EXECUTION set       REV_ = ?,       BUSINESS_KEY_ = ?,       PROC_DEF_ID_ = ?,       ACT_ID_ = ?,       IS_ACTIVE_ = ?,       IS_CONCURRENT_ = ?,       IS_SCOPE_ = ?,       IS_EVENT_SCOPE_ = ?,       PARENT_ID_ = ?,       SUPER_EXEC_ = ?,       SUSPENSION_STATE_ = ?,       CACHED_ENT_STATE_ = ?,       NAME_ = ?,     where ID_ = ?       and REV_ = ? [42001-170]",204
time limit of 5000 was exceeded,8
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named &#x27;name&#x27; in &#x27;class org.activiti.engine.impl.ExecutionQueryImpl&#x27; ### Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named &#x27;name&#x27; in &#x27;class org.activiti.engine.impl.ExecutionQueryImpl&#x27;,331
time limit of 3000 was exceeded,6
time limit of 6000 was exceeded,1
Exception while waiting on condition: Query return 278 results instead of max 1,1
Exception while waiting on condition: Query return 219 results instead of max 1,1
Exception while waiting on condition: Query return 132 results instead of max 1,1
resource &#x27;org/activiti/engine/test/api/event/JobEventsTest.testJobCanceledEventOnBoundaryEvent.bpmn20.xml&#x27; not found,1
Exception while waiting on condition: Query return 268 results instead of max 1,1
obj must not be null,4
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named &#x27;deploymentIds&#x27; in &#x27;class org.activiti.engine.impl.ExecutionQueryImpl&#x27; ### Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named &#x27;deploymentIds&#x27; in &#x27;class org.activiti.engine.impl.ExecutionQueryImpl&#x27;,119
Error processing BPMN document,440
no deployed process definition found with id &#x27;categorizeProcess&#x27;,3
Could not load CacheAwareContextLoaderDelegate [class org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate],2
