id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
1238,d953a5c4,FAIL,15,NO,0,NO,0,2019-04-25 18:45:37 -0700,[asynchbase] update to 1.8.2 (#1255),222,19640
1239,29f254df,FAIL,13,NO,0,NO,0,2019-04-26 03:57:29 +0200,[PostgreNoSQL] Added NoSQL support for PostgreSQL. (#1242),226,20120
1240,8b9bb8fb,FAIL,15,NO,0,NO,0,2019-04-26 06:23:50 +0300,[core] Optimize toArray of all ByteIterators except RandomByteIterator (#1112),226,20155
1241,50c6dc1e,FAIL,14,NO,0,NO,0,2019-06-01 10:24:24 -0300,[rest] set default url.prefix to specified at readme file (#1309),226,20155
1242,266d19b6,FAIL,15,NO,0,NO,0,2019-06-01 15:25:30 +0200,[geode] Remove 'incubating' from references to Apache Geode (#1308),226,20155
1243,1b6e8585,FAIL,15,NO,0,NO,0,2019-06-01 17:04:42 +0200,[crail] Added support for Apache Crail (Incubating) (#1266),228,20276
1244,9566b708,FAIL,15,NO,0,NO,0,2019-06-01 17:08:07 +0200,[core] Enabling exponential distribution in the core worklaod (#1260),228,20276
1245,4c07fe48,FAIL,13,NO,0,NO,0,2019-06-03 15:03:56 -0500,[travis] drop unsupported oracle JDK8 (#1312),228,20276
1246,d55ac2bb,FAIL,14,NO,0,NO,0,2019-06-04 11:09:18 +0800,[tablestore] Add binding for Alibaba Cloud's TableStore (#1286),230,20452
1247,c695486d,FAIL,13,NO,0,NO,0,2019-06-04 12:13:59 +0900,[griddb] add GridDB binding (#1258),233,20870
1248,bafc4de8,FAIL,15,NO,0,NO,0,2019-06-03 23:52:28 -0500,[core] add missing license headers. (#1313),233,20870
1249,bcf9ee34,FAIL,15,NO,0,NO,0,2019-06-04 00:28:38 -0500,[version] update master branch to 0.17.0-SNAPSHOT,233,20870
1250,06e47bf8,FAIL,16,NO,0,NO,0,2019-06-14 20:51:11 +0800,"[hbase10] Use Admin.tableExists instead of Table.getTableDescriptor to test whether the table exists, as the latter has been removed on master branch (#1315)",233,20873
1251,e075edcb,FAIL,15,NO,0,NO,0,2019-08-19 10:18:19 -0400,[jdbc] Fix README formatting of example connection strings (#1335),233,20873
1252,d1ad3ec5,FAIL,14,NO,0,NO,0,2019-09-07 21:23:17 +0800,[hbase12] fix README instructions for skipping WAL (#1324),233,20873
1253,2ff658c0,FAIL,15,NO,0,NO,0,2019-09-07 21:32:35 +0800,[core] limit number of client threads based on op count. (#1323),233,20876
1254,fc9f1a2a,FAIL,15,NO,0,NO,0,2019-09-08 06:45:23 +0430,[jdbc] Add mssql support for scan operation (#1350),233,20888
1255,77080a32,FAIL,14,NO,0,NO,0,2019-09-08 07:27:09 +0200,[jdbc] Changed sharded url delimiter to semicolon (#1233),233,20888
1256,178e4e5b,FAIL,17,NO,0,NO,0,2019-09-09 14:01:44 -0500,[documentation] Update README for ycsb.site (#1351),233,20888
1257,cc165f22,FAIL,15,NO,0,NO,0,2019-09-17 12:29:23 +0100,[db voltdb] Add VoltDB client (#1319),249,21689
1258,fd29cda9,FAIL,15,NO,0,NO,0,2019-09-19 13:50:20 -0500,[build] update group id to site.ycsb (#1352),249,21689
1259,cd1589ce,FAIL,14,NO,0,NO,0,2019-09-19 13:51:09 -0500,Move all packages from com.yahoo.ycsb to site.ycsb. (#1354),249,21689
1260,12ce3a85,FAIL,15,NO,0,NO,0,2019-09-21 01:24:50 -0500,[version] update master branch to 0.18.0-SNAPSHOT,249,21689
1261,3e8dd3ff,FAIL,13,NO,0,NO,0,2019-10-11 07:25:36 -0500,[release] update README for 0.17.0 release. (#1363),249,21689
1262,53f0b175,FAIL,14,NO,0,NO,0,2019-10-11 14:55:58 -0500,[release] configuration needed for publishing to maven central. (#1361),249,21689
1263,4a990099,FAIL,15,NO,0,NO,0,2019-10-17 09:32:33 -0400,[rocksdb] update version and add options (#1353),250,21764
1264,6c8c7fc5,FAIL,16,NO,0,NO,0,2019-11-13 07:07:14 +0800,[jdbc] only check for sqlserver when we have a driver (#1372),250,21764
1265,25724e8f,FAIL,15,NO,0,NO,0,2019-11-13 20:50:44 +0100,[jdbc] Add support for SQL:2008 FETCH FIRST n ROWS ONLY for Scans (#1373),250,21776
